Table 1
Timestamp,First and Last Name,City,State,Submitted by:,Comments:,,Sheet,Hyperlink,Province,Country,Submitted By:,Submitted by,Comments
,David Spangler,Alabaster,Alabama,Patient submitted,,,United States,https://www.cwcalabama.com/dr-david-l-spangler/,,,,,
,George Zaharias,Alabaster,Alabama,Patient submitted ,,,United States,https://www.cwcalabama.com/dr-george-zaharias/,,,,,
,Jessica Rodriguez,Alabaster,Alabama,Patient submitted ,,,United States,https://www.cwcalabama.com/dr-jessica-rodriguez/,,,,,
,Lee Carney,Andalusia,Alabama,Patient submitted ,,,United States,https://www.andalusiahealth.com/find-a-doctor/provider/1407943442,,,,,
,Cynthia Cater,Anniston,Alabama,Patient submitted,,,United States,https://rmccares.org/physicians/cynthia-smith-cater-md/,,,,,
,Cynthia Goldsmith Fletcher,Anniston,Alabama,Patient submitted ,,,United States,https://rmccares.org/physicians/cynthia-goldsmith-fletcher-md/,,,,,
,Ricky D Patel,Anniston,Alabama,,,,United States,https://www.obgynanniston.com/our-doctors/,,,,,
,Rachel Ford,Anniston,Alabama,Patient submitted,,,United States,https://rmccares.org/physicians/dr-rachel-ford/,,,,,
,Jeffrey W. Collins,Anniston ,Alabama,Patient submitted ,,,United States,https://www.obgynanniston.com/our-doctors/,,,,,
,Bethany Campbell,Birmingham,Alabama,Patient submitted ,,,United States,https://www.grandviewmedicalgroup.com/doctors-providers/campbell-bethany-md-6298,,,,,
,Eli Brown,Birmingham,Alabama,Patient submitted,,,United States,,,,,,
,Heather Deisher,Birmingham,Alabama,,,,United States,https://www.brookwoodbaptisthealth.com/find-a-doctor/detail/heather-deisher-1972951226,,,,,
,Heidi Straughn,Birmingham,Alabama,Patient submitted,,,United States,http://brookwoodwomenshealth.com/about-us/physicians/,,,,,
,Jack Freeman,Birmingham,Alabama,,,,United States,http://brookwoodwomenshealth.com/about-us/physicians/,,,,,
,Jesanna Cooper,Birmingham,Alabama,,,,United States,https://simonwilliamsonclinic.com/physicians/jesanna-cooper-md/,,,,,
,John Morgan,Birmingham,Alabama,,,,United States,https://www.brookwoodbaptisthealth.com/find-a-doctor/detail/john-morgan-1942279534,,,,,
,Margaret Miklic,Birmingham,Alabama,Patient submitted,,,United States,https://www.grandviewmedicalgroup.com/doctors-providers/miklic-margaret-md-6302,,,,,
,Margot Potter,Birmingham,Alabama,Patient submitted ,,,United States,https://www.grandviewmedicalgroup.com/doctors-providers/potter-margot-md-8595,,,,,
,Sarah Aultman,Birmingham,Alabama,,,,United States,https://www.alwomens.com/aultman.html,,,,,
,Shweta Patel,Birmingham,Alabama,Patient submitted,,,United States,https://providerdirectory.uabmedicine.org/provider/Shweta+Patel/975131,,,,,
,Kathryn Santoro,Birmingham,Alabama,,,,United States,https://whsbham.com/our-physicians/,,,,,
,Stevie N. Bennett,Birmingham,Alabama,Patient submitted,,,United States,https://www.grandviewmedicalgroup.com/doctors-providers/bennett-stevie-n-md-6945?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,,,,,
,Dale Greene,Birmingham,Alabama,Patient submitted,,,United States,https://www.grandviewmedicalgroup.com/doctors-providers/greene-dale-md-7270,,,,,
YYYY-55-DD 22:55:SS,Amy Boone,Birmingham ,Alabama,Patient submitted,LGBTQ+ affirming,,United States,https://providerdirectory.uabmedicine.org/provider/Amy+Boone/674590,,,,,
,Wendy Gregory,Birmingham ,Alabama,Patient submitted,,,United States,https://sparksandfavorpc.com/about-us/our-physicians/dr-gregory/,,,,,
,Virginia Winston,Birmingham ,Alabama,Patient submitted,,,United States,https://www.grandviewmedicalgroup.com/doctors-providers/winston-virginia-md-6306?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,,,,,
,Danielle Gershon,Birmingham ,Alabama,,,,United States,https://providerdirectory.uabmedicine.org/provider/danielle-gershon/2623669,,,,,
YYYY-00-DD 22:00:SS,Andreana Johnson,Boaz,Alabama,,,,United States,https://mmcenters.com/physicians/171/physician-detail,,,,,
,Summers W. Taylor lll,Boaz,Alabama,Patient submitted ,,,United States,https://www.swtaylorobgyn.com/,,,,,
,Taylor Massengill,Cullman,Alabama,,,,United States,https://cullmanregionalmedicalgroup.com/provider/taylor-massengill-md/,,,,,
,Allison Warren ,Decatur,Alabama,,,,United States,https://www.thebabysteps.org/our-providers,,,,,
,Asha Voss,Dothan,Alabama,Patient submitted ,,,United States,https://www.ladiesfirstobgynmedspa.com/meet-the-providers/asha-voss-md-facog/,,,,,
,Guy Middleton,Dothan,Alabama,Patient submitted ,,,United States,https://dothanobgyn.com/guy-middleton%2C-md%2C-facog,,,,,
,Praful G. Patel,Dothan,Alabama,Patient submitted,,,United States,https://www.southeasthealth.org/portfolio-items/praful-g-patel-md/,,,,,
,Ali A. Hollis ,Fairhope ,Alabama,,,,United States,https://fairhopeobgyn.com/about-us-fairhope-obstetrics-gynecology/our-doctors/ali-hollis-md/,,,,,
,Danielle Warner McGallagher,Foley,Alabama,,,,United States,https://www.baldwinhealthmedicalgroup.com/doctors-providers/warner-mcgallagher-danielle-do-9819?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,,,,,
,Lindsay Prophet Frederick,Gadsden,Alabama,Patient submitted ,,,United States,https://doctor.webmd.com/doctor/sarah-prophet-10c82981-900b-4614-b4b5-b2876b751c3e-overview,,,,,
,Xavier Smith,Gadsden ,Alabama,Patient submitted,,,United States,https://www.gadsdenphysicianclinics.com/doctors-providers/smith-xavier-md-7208?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,,,,,
YYYY-35-DD 19:35:SS,Megan Zeien MD,Guntersville,Alabama,,,,United States,https://mmcenters.com/physicians/174/physician-detail,,,,,
