full_name,credentials,city,state_full,state_code,province,country,website_url,submitted_by,comments,source_region
David Spangler,,Alabaster,Alabama,AL,,,https://www.cwcalabama.com/dr-david-l-spangler/,Patient submitted,,United States
George Zaharias,,Alabaster,Alabama,AL,,,https://www.cwcalabama.com/dr-george-zaharias/,Patient submitted ,,United States
Jessica Roiguez,,Alabaster,Alabama,AL,,,https://www.cwcalabama.com/dr-jessica-rodriguez/,Patient submitted ,,United States
Lee Carney,,Andalusia,Alabama,AL,,,https://www.andalusiahealth.com/find-a-doctor/provider/1407943442,Patient submitted ,,United States
Cynthia Cater,,Anniston,Alabama,AL,,,https://rmccares.org/physicians/cynthia-smith-cater-md/,Patient submitted,,United States
Cynthia Goldsmith Fletcher,,Anniston,Alabama,AL,,,https://rmccares.org/physicians/cynthia-goldsmith-fletcher-md/,Patient submitted ,,United States
Ricky D Patel,,Anniston,Alabama,AL,,,https://www.obgynanniston.com/our-doctors/,,,United States
Rachel Ford,,Anniston,Alabama,AL,,,https://rmccares.org/physicians/dr-rachel-ford/,Patient submitted,,United States
Jeffrey W. Collins,,Anniston,Alabama,AL,,,https://www.obgynanniston.com/our-doctors/,Patient submitted ,,United States
Bethany Campbell,,Birmingham,Alabama,AL,,,https://www.grandviewmedicalgroup.com/doctors-providers/campbell-bethany-md-6298,Patient submitted ,,United States
Eli Brown,,Birmingham,Alabama,AL,,,,Patient submitted,,United States
Heather Deisher,,Birmingham,Alabama,AL,,,https://www.brookwoodbaptisthealth.com/find-a-doctor/detail/heather-deisher-1972951226,,,United States
Heidi Straughn,,Birmingham,Alabama,AL,,,http://brookwoodwomenshealth.com/about-us/physicians/,Patient submitted,,United States
Jack Freeman,,Birmingham,Alabama,AL,,,http://brookwoodwomenshealth.com/about-us/physicians/,,,United States
Jesanna Cooper,,Birmingham,Alabama,AL,,,https://simonwilliamsonclinic.com/physicians/jesanna-cooper-md/,,,United States
John Morgan,,Birmingham,Alabama,AL,,,https://www.brookwoodbaptisthealth.com/find-a-doctor/detail/john-morgan-1942279534,,,United States
Margaret Miklic,,Birmingham,Alabama,AL,,,https://www.grandviewmedicalgroup.com/doctors-providers/miklic-margaret-md-6302,Patient submitted,,United States
Margot Potter,,Birmingham,Alabama,AL,,,https://www.grandviewmedicalgroup.com/doctors-providers/potter-margot-md-8595,Patient submitted ,,United States
Sarah Aultman,,Birmingham,Alabama,AL,,,https://www.alwomens.com/aultman.html,,,United States
Shweta Patel,,Birmingham,Alabama,AL,,,https://providerdirectory.uabmedicine.org/provider/Shweta+Patel/975131,Patient submitted,,United States
Kathryn Santoro,,Birmingham,Alabama,AL,,,https://whsbham.com/our-physicians/,,,United States
Stevie N. Bennett,,Birmingham,Alabama,AL,,,https://www.grandviewmedicalgroup.com/doctors-providers/bennett-stevie-n-md-6945?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,Patient submitted,,United States
Dale Greene,,Birmingham,Alabama,AL,,,https://www.grandviewmedicalgroup.com/doctors-providers/greene-dale-md-7270,Patient submitted,,United States
Amy Boone,,Birmingham,Alabama,AL,,,https://providerdirectory.uabmedicine.org/provider/Amy+Boone/674590,Patient submitted,LGBTQ+ affirming,United States
Wendy Gregory,,Birmingham,Alabama,AL,,,https://sparksandfavorpc.com/about-us/our-physicians/dr-gregory/,Patient submitted,,United States
Virginia Winston,,Birmingham,Alabama,AL,,,https://www.grandviewmedicalgroup.com/doctors-providers/winston-virginia-md-6306?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,Patient submitted,,United States
Danielle Gershon,,Birmingham,Alabama,AL,,,https://providerdirectory.uabmedicine.org/provider/danielle-gershon/2623669,,,United States
Aneana Johnson,,Boaz,Alabama,AL,,,https://mmcenters.com/physicians/171/physician-detail,,,United States
Summers W. Taylor Lll,,Boaz,Alabama,AL,,,https://www.swtaylorobgyn.com/,Patient submitted ,,United States
Taylor Massengill,,Cullman,Alabama,AL,,,https://cullmanregionalmedicalgroup.com/provider/taylor-massengill-md/,,,United States
Allison Warren,,Decatur,Alabama,AL,,,https://www.thebabysteps.org/our-providers,,,United States
Asha Voss,,Dothan,Alabama,AL,,,https://www.ladiesfirstobgynmedspa.com/meet-the-providers/asha-voss-md-facog/,Patient submitted ,,United States
Guy Middleton,,Dothan,Alabama,AL,,,https://dothanobgyn.com/guy-middleton%2C-md%2C-facog,Patient submitted ,,United States
Praful G. Patel,,Dothan,Alabama,AL,,,https://www.southeasthealth.org/portfolio-items/praful-g-patel-md/,Patient submitted,,United States
Ali A. Hollis,,Fairhope,Alabama,AL,,,https://fairhopeobgyn.com/about-us-fairhope-obstetrics-gynecology/our-doctors/ali-hollis-md/,,,United States
Danielle Warner Mcgallagher,,Foley,Alabama,AL,,,https://www.baldwinhealthmedicalgroup.com/doctors-providers/warner-mcgallagher-danielle-do-9819?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,,,United States
Lindsay Prophet Frederick,,Gadsden,Alabama,AL,,,https://doctor.webmd.com/doctor/sarah-prophet-10c82981-900b-4614-b4b5-b2876b751c3e-overview,Patient submitted ,,United States
Xavier Smith,,Gadsden,Alabama,AL,,,https://www.gadsdenphysicianclinics.com/doctors-providers/smith-xavier-md-7208?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,Patient submitted,,United States
Megan Zeien,MD,Guntersville,Alabama,AL,,,https://mmcenters.com/physicians/174/physician-detail,,,United States
Eleanor Murray,,Huntsville,Alabama,AL,,,https://www.clinicforwomen.com/dr-eleanor-williams-murray/,,,United States
Rachel Peterson,,Huntsville,Alabama,AL,,,https://drpetersenobgynal.com/,Patient submitted ,,United States
Sanithia Williams,,Huntsville,Alabama,AL,,,https://www.alabamawomenswellnesscenter.com/about,Patient submitted,,United States
